epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8498,1.79006,3.58266,1.33278,0.27762,0.43914,0.25192,0.08568,1.40937,4.70877,1.15832,0.00035007,0.00035007,0.00035007
2,18.2229,1.47434,1.63619,1.16956,0.57135,0.51136,0.46501,0.22946,1.37436,2.46245,1.17338,0.000702617,0.000702617,0.000702617
3,27.0636,1.38308,1.53425,1.13725,0.06657,0.65186,0.05266,0.02705,1.41841,52.8525,1.26371,0.00104064,0.00104064,0.00104064
4,33.5052,1.55615,1.55093,1.21001,0.58009,0.38816,0.43131,0.20835,1.6196,2.10735,1.41138,0.00136414,0.00136414,0.00136414
5,42.0411,1.41984,1.42047,1.15934,0.45355,0.48684,0.43356,0.19981,1.64175,1.87626,1.39393,0.00153497,0.00153497,0.00153497
6,52.073,1.4416,1.30352,1.1867,0.71162,0.53686,0.53579,0.25132,1.64522,1.83961,1.42391,0.00150197,0.00150197,0.00150197
7,59.388,1.41314,1.28154,1.19084,0.6381,0.66831,0.63349,0.30281,1.40192,1.63776,1.25707,0.00146896,0.00146896,0.00146896
8,72.4674,1.38212,1.16268,1.15247,0.51103,0.65077,0.59199,0.2808,1.53674,1.50411,1.3711,0.00143595,0.00143595,0.00143595
9,79.4239,1.34556,1.09484,1.16224,0.54425,0.41934,0.50409,0.24012,1.58124,1.90581,1.43847,0.00140295,0.00140295,0.00140295
10,89.6654,1.3483,1.06768,1.14166,0.50827,0.43202,0.45449,0.21074,1.77376,1.71828,1.43385,0.00136994,0.00136994,0.00136994
11,97.5766,1.35699,1.01219,1.15211,0.67514,0.57718,0.6041,0.31539,1.53338,1.30423,1.31072,0.00133693,0.00133693,0.00133693
12,105.52,1.27401,0.96039,1.10171,0.64547,0.53454,0.53819,0.25041,1.58765,1.75933,1.39248,0.00130393,0.00130393,0.00130393
13,116.067,1.29269,0.96315,1.11707,0.80307,0.57566,0.65637,0.30954,1.662,1.57403,1.42648,0.00127092,0.00127092,0.00127092
14,123.831,1.26947,0.95591,1.12253,0.65303,0.62838,0.55673,0.29889,1.56353,1.22845,1.28135,0.00123791,0.00123791,0.00123791
15,133.363,1.20336,0.9045,1.10343,0.41387,0.68334,0.34332,0.15902,1.39346,2.82841,1.26729,0.00120491,0.00120491,0.00120491
16,142.465,1.20247,0.88682,1.10412,0.75405,0.59594,0.67146,0.34429,1.50845,1.09313,1.32445,0.0011719,0.0011719,0.0011719
17,149.117,1.23357,0.82427,1.1146,0.72911,0.65461,0.65387,0.31983,1.50039,1.1559,1.30968,0.00113889,0.00113889,0.00113889
18,159.4,1.23553,0.85327,1.10367,0.64991,0.50713,0.5537,0.31027,1.48857,1.13681,1.28901,0.00110589,0.00110589,0.00110589
19,168.271,1.21762,0.86286,1.11361,0.66969,0.69846,0.62349,0.32746,1.52503,0.98106,1.32076,0.00107288,0.00107288,0.00107288
20,176.392,1.19648,0.81788,1.07194,0.79114,0.7034,0.72444,0.36108,1.45971,0.95087,1.27948,0.00103987,0.00103987,0.00103987
21,184.34,1.19204,0.76129,1.0852,0.71608,0.66283,0.68963,0.35163,1.48944,1.0653,1.29992,0.00100687,0.00100687,0.00100687
22,194.377,1.17934,0.79577,1.05942,0.74772,0.65931,0.66981,0.35967,1.43192,0.99124,1.24616,0.000973861,0.000973861,0.000973861
23,201.377,1.17333,0.74294,1.0723,0.72511,0.66338,0.69664,0.33471,1.49946,1.05869,1.28455,0.000940855,0.000940855,0.000940855
24,209.278,1.16185,0.72835,1.05595,0.66123,0.73158,0.64239,0.34246,1.46282,1.09381,1.28055,0.000907848,0.000907848,0.000907848
25,217.085,1.11979,0.72565,1.05038,0.72367,0.58789,0.58233,0.31341,1.5247,1.17115,1.2992,0.000874842,0.000874842,0.000874842
26,225.035,1.0932,0.70806,1.03641,0.74782,0.65545,0.65514,0.31424,1.47862,1.2992,1.294,0.000841835,0.000841835,0.000841835
27,231.634,1.09623,0.68742,1.02584,0.64557,0.6083,0.5407,0.26808,1.56611,1.26333,1.34245,0.000808828,0.000808828,0.000808828
28,239.724,1.09238,0.67701,1.0233,0.64871,0.71231,0.64977,0.3627,1.39916,0.96768,1.27288,0.000775822,0.000775822,0.000775822
29,246.403,1.07955,0.65481,1.02824,0.64916,0.69853,0.62174,0.3246,1.44359,1.15012,1.27238,0.000742815,0.000742815,0.000742815
30,255.665,1.05213,0.65842,1.00679,0.68581,0.7034,0.68173,0.36584,1.40173,1.03288,1.23633,0.000709809,0.000709809,0.000709809
31,262.482,1.06412,0.65042,1.00256,0.83324,0.66072,0.67507,0.35684,1.47881,0.92931,1.29079,0.000676802,0.000676802,0.000676802
32,271.159,1.03052,0.63575,1.01175,0.76535,0.77958,0.73601,0.37883,1.36885,0.87428,1.2461,0.000643795,0.000643795,0.000643795
33,279.223,1.02407,0.6266,1.00726,0.77104,0.60188,0.67209,0.36796,1.48266,0.89668,1.31542,0.000610789,0.000610789,0.000610789
34,286.814,0.98208,0.59413,0.99292,0.80999,0.68586,0.7553,0.38515,1.44481,0.85093,1.3025,0.000577782,0.000577782,0.000577782
35,295.052,1.00873,0.6111,1.00545,0.83386,0.74848,0.78392,0.37053,1.47053,0.93464,1.30578,0.000544776,0.000544776,0.000544776
36,301.554,0.96531,0.55664,0.98046,0.80185,0.74076,0.72198,0.36395,1.42817,0.94631,1.29978,0.000511769,0.000511769,0.000511769
37,309.741,0.95363,0.58458,0.98563,0.73052,0.74189,0.71675,0.38742,1.42629,0.89593,1.28648,0.000478762,0.000478762,0.000478762
38,317.204,0.9116,0.52613,0.97014,0.73379,0.7345,0.70922,0.389,1.4171,0.95857,1.26349,0.000445756,0.000445756,0.000445756
39,327.003,0.91152,0.53421,0.97458,0.77302,0.75368,0.71083,0.36177,1.44796,0.93192,1.29657,0.000412749,0.000412749,0.000412749
40,334.81,0.89704,0.53676,0.96193,0.70147,0.65461,0.64194,0.34573,1.51682,1.03301,1.35508,0.000379743,0.000379743,0.000379743
41,343.277,0.91739,0.52895,0.97202,0.70945,0.56579,0.58953,0.3164,1.43648,0.96841,1.25764,0.000346736,0.000346736,0.000346736
42,352.293,0.8935,0.4929,0.96115,0.66811,0.76169,0.6676,0.32973,1.42478,0.95896,1.21695,0.000313729,0.000313729,0.000313729
43,358.775,0.88218,0.50651,0.95092,0.73111,0.71562,0.65695,0.34564,1.38687,0.87501,1.20236,0.000280723,0.000280723,0.000280723
44,366.702,0.86535,0.47398,0.95389,0.81857,0.74251,0.74079,0.38144,1.37664,0.84574,1.19949,0.000247716,0.000247716,0.000247716
45,372.958,0.86733,0.46717,0.9388,0.8254,0.69463,0.75379,0.38624,1.38399,0.87001,1.21216,0.00021471,0.00021471,0.00021471
46,381.119,0.84481,0.47187,0.93196,0.8304,0.7659,0.79154,0.40709,1.33413,0.86256,1.22624,0.000181703,0.000181703,0.000181703
47,387.738,0.83428,0.46557,0.94633,0.84717,0.77114,0.79906,0.41355,1.34778,0.86171,1.24148,0.000148696,0.000148696,0.000148696
48,395.779,0.81091,0.43723,0.92333,0.82666,0.7164,0.75611,0.39095,1.40226,0.88021,1.27738,0.00011569,0.00011569,0.00011569
49,402.248,0.8229,0.42704,0.94622,0.82289,0.78344,0.78401,0.39234,1.40643,0.86014,1.27624,8.26832e-05,8.26832e-05,8.26832e-05
50,409.921,0.79057,0.42748,0.9304,0.84105,0.81469,0.80179,0.392,1.40177,0.84813,1.26774,4.96766e-05,4.96766e-05,4.96766e-05
